Year,state_name,state_cd,Population,IncarcerationRate,Inmates,state_id
1978,Alabama,AL,3831836,144.21,5526,1
1978,Alaska,AK,404766,121.88,493,2
1978,Arizona,AZ,2515316,137.02,3446,4
1978,Arkansas,AR,2243127,115.04,2580,5
1978,California,CA,22835958,85.6,19548,6
1978,Colorado,CO,2766748,89.42,2474,8
1978,Connecticut,CT,3091627,60.2,1861,9
1978,Delaware,DE,594776,168.01,999,10
1978,Federal,FD,222095080,11.73,26052,57
1978,Florida,FL,9102032,232.64,21175,12
1978,Georgia,GA,5295751,204.95,10854,13
1978,Hawaii,HI,931584,52.33,487,15
1978,Idaho,ID,910690,88.03,802,16
1978,Illinois,IL,11412561,94.14,10744,17
1978,Indiana,IN,5470214,80.71,4415,18
1978,Iowa,IA,2918069,67.18,1960,19
1978,Kansas,KS,2335657,100.25,2341,20
1978,Kentucky,KY,3609976,93.86,3388,21
1978,Louisiana,LA,4068579,179,7283,22
1978,Maine,ME,1113566,51.73,576,23
1978,Maryland,MD,4183603,189.14,7913,24
1978,Massachusetts,MA,5736469,48.49,2782,25
1978,Michigan,MI,9217761,162.4,14970,26
1978,Minnesota,MN,4015341,48.79,1959,27
1978,Mississippi,MS,2487816,105.83,2633,28
1978,Missouri,MO,4889399,115.72,5658,29
1978,Montana,MT,782317,86.72,678,30
1978,Nebraska,NE,1563884,79.56,1244,31
1978,Nevada,NV,719436,187.66,1350,32
1978,New Hampshire,NH,891520,31.66,282,33
1978,New Jersey,NJ,7350804,73.7,5418,34
1978,New Mexico,NM,1238034,120.22,1488,35
1978,New York,NY,17680589,115.45,20412,36
1978,North Carolina,NC,5759492,213.76,12311,37
1978,North Dakota,ND,651301,21.2,138,38
1978,Ohio,OH,10795581,121.41,13107,39
1978,Oklahoma,OK,2917336,143.7,4192,40
1978,Oregon,OR,2518298,114.48,2883,41
1978,Pennsylvania,PA,11879396,65.08,7731,42
1978,Rhode Island,RI,951816,54.74,521,44
1978,South Carolina,SC,3044364,234.46,7138,45
1978,South Dakota,SD,688580,73.26,504,46
1978,Tennessee,TN,4486314,130.78,5867,47
1978,Texas,TX,13500429,182.07,24580,48
1978,United States,US,222095080,130.81,290523,0
1978,Utah,UT,1367510,66.56,910,49
1978,Vermont,VT,498109,70.44,351,50
1978,Virginia,VA,5270240,149.17,7862,51
1978,Washington,WA,3889073,115.46,4490,53
1978,West Virginia,WV,1923395,64.41,1239,54
1978,Wisconsin,WI,4646108,74.11,3443,55
1978,Wyoming,WY,432880,100.47,435,56
1979,Alabama,AL,3866248,141.21,5460,1
1979,Alaska,AK,402753,131.89,531,2
1979,Arizona,AZ,2635571,141.63,3733,4
1979,Arkansas,AR,2271333,131.33,2983,5
1979,California,CA,23256880,91.42,21261,6
1979,Colorado,CO,2849234,93.29,2658,8
1979,Connecticut,CT,3095917,69,2136,9
1979,Delaware,DE,594984,181.69,1081,10
1979,Federal,FD,224567241,9.97,22389,57
1979,Florida,FL,9426159,204.92,19316,12
1979,Georgia,GA,5401384,216.4,11689,13
1979,Hawaii,HI,953306,56.73,541,15
1979,Idaho,ID,932627,88.99,830,16
1979,Illinois,IL,11396837,99.46,11335,17
1979,Indiana,IN,5501174,96.26,5295,18
1979,Iowa,IA,2915739,77.52,2260,19
1979,Kansas,KS,2350906,97.54,2293,20
1979,Kentucky,KY,3641804,101.29,3689,21
1979,Louisiana,LA,4137665,184.05,7615,22
1979,Maine,ME,1122563,56.98,640,23
1979,Maryland,MD,4191160,186.11,7800,24
1979,Massachusetts,MA,5738404,50.07,2873,25
1979,Michigan,MI,9266268,162.2,15030,26
1979,Minnesota,MN,4050316,51.85,2100,27
1979,Mississippi,MS,2507069,136.58,3424,28
1979,Missouri,MO,4912430,107.97,5304,29
1979,Montana,MT,787305,90.21,710,30
1979,Nebraska,NE,1567344,76.25,1195,31
1979,Nevada,NV,765367,204.65,1566,32
1979,New Hampshire,NH,909074,34.65,315,33
1979,New Jersey,NJ,7366512,75.12,5534,34
1979,New Mexico,NM,1284722,114.48,1471,35
1979,New York,NY,17583838,118.27,20796,36
1979,North Carolina,NC,5823491,232.03,13512,37
1979,North Dakota,ND,652896,20.85,136,38
1979,Ohio,OH,10798298,123.72,13360,39
1979,Oklahoma,OK,2975310,143.09,4257,40
1979,Oregon,OR,2588012,122.87,3180,41
1979,Pennsylvania,PA,11887975,64.72,7694,42
1979,Rhode Island,RI,950382,58.43,555,44
1979,South Carolina,SC,3090267,230.49,7123,45
1979,South Dakota,SD,688335,78.22,538,46
1979,Tennessee,TN,4560473,146.23,6669,47
1979,Texas,TX,13888371,190.98,26524,48
1979,United States,US,224567241,133.07,298832,0
1979,Utah,UT,1420238,67.58,960,49
1979,Vermont,VT,505372,61.5,311,50
1979,Virginia,VA,5307945,154.01,8175,51
1979,Washington,WA,4017632,108.2,4347,53
1979,West Virginia,WV,1942146,64.51,1253,54
1979,Wisconsin,WI,4682811,78.8,3690,55
1979,Wyoming,WY,454378,111.53,507,56
1980,Alabama,AL,3893888,163.3,6359,1
1980,Alaska,AK,401851,141.1,567,2
1980,Arizona,AZ,2718215,159.37,4332,4
1980,Arkansas,AR,2286435,127.18,2908,5
1980,California,CA,23667902,97.78,23142,6
1980,Colorado,CO,2889964,89.67,2591,8
1980,Connecticut,CT,3107576,88.3,2744,9
1980,Delaware,DE,594338,182.71,1086,10
1980,Federal,FD,226545805,9.02,20434,57
1980,Florida,FL,9746324,205.37,20016,12
1980,Georgia,GA,5463105,217.38,11876,13
1980,Hawaii,HI,964691,64.9,626,15
1980,Idaho,ID,943935,86.13,813,16
1980,Illinois,IL,11426518,93.78,10716,17
1980,Indiana,IN,5490224,114.35,6278,18
1980,Iowa,IA,2913808,85.03,2478,19
1980,Kansas,KS,2363679,105.23,2487,20
1980,Kentucky,KY,3660777,97.89,3584,21
1980,Louisiana,LA,4205900,210.56,8856,22
1980,Maine,ME,1124660,59.5,669,23
1980,Maryland,MD,4216975,182.93,7714,24
1980,Massachusetts,MA,5737037,54.8,3144,25
1980,Michigan,MI,9262078,163.38,15132,26
1980,Minnesota,MN,4075970,48.96,1996,27
1980,Mississippi,MS,2520638,150.28,3788,28
1980,Missouri,MO,4916686,116.31,5719,29
1980,Montana,MT,786690,93.57,736,30
1980,Nebraska,NE,1569825,89.14,1399,31
1980,Nevada,NV,800493,226.97,1817,32
1980,New Hampshire,NH,920610,35.25,325,33
1980,New Jersey,NJ,7364823,75.42,5555,34
1980,New Mexico,NM,1302894,91.59,1193,35
1980,New York,NY,17558072,123.18,21628,36
1980,North Carolina,NC,5881766,245.18,14421,37
1980,North Dakota,ND,652717,28.27,185,38
1980,Ohio,OH,10797630,124.86,13482,39
1980,Oklahoma,OK,3025290,157.76,4773,40
1980,Oregon,OR,2633105,120.05,3161,41
1980,Pennsylvania,PA,11863895,68.33,8107,42
1980,Rhode Island,RI,947154,63.32,600,44
1980,South Carolina,SC,3121820,237.1,7402,45
1980,South Dakota,SD,690768,88.17,609,46
1980,Tennessee,TN,4591120,152.63,7007,47
1980,Texas,TX,14229191,208.48,29665,48
1980,United States,US,226545805,138.31,313336,0
1980,Utah,UT,1461037,62.99,920,49
1980,Vermont,VT,511456,66.69,341,50
1980,Virginia,VA,5346818,159.87,8548,51
1980,Washington,WA,4132156,105.87,4375,53
1980,West Virginia,WV,1949644,64.37,1255,54
1980,Wisconsin,WI,4705767,84.43,3973,55
1980,Wyoming,WY,469557,112.57,529,56
1981,Alabama,AL,3918531,183.72,7199,1
1981,Alaska,AK,418491,170.38,713,2
1981,Arizona,AZ,2810107,185.01,5199,4
1981,Arkansas,AR,2293201,145.13,3328,5
1981,California,CA,24285933,114.93,27912,6
1981,Colorado,CO,2977898,93.02,2770,8
1981,Connecticut,CT,3128836,107,3348,9
1981,Delaware,DE,595975,209.41,1248,10
1981,Federal,FD,229465714,9.61,22052,57
1981,Florida,FL,10192774,227.61,23200,12
1981,Georgia,GA,5568345,222.28,12377,13
1981,Hawaii,HI,978195,77.39,757,15
1981,Idaho,ID,962204,99.46,957,16
1981,Illinois,IL,11443458,122.37,14003,17
1981,Indiana,IN,5480435,137.93,7559,18
1981,Iowa,IA,2907983,91.82,2670,19
1981,Kansas,KS,2384849,116.15,2770,20
1981,Kentucky,KY,3670394,108.79,3993,21
1981,Louisiana,LA,4283303,219.81,9415,22
1981,Maine,ME,1133033,71.14,806,23
1981,Maryland,MD,4261905,209.11,8912,24
1981,Massachusetts,MA,5768685,65.72,3791,25
1981,Michigan,MI,9209287,164.58,15157,26
1981,Minnesota,MN,4111728,47.82,1966,27
1981,Mississippi,MS,2539036,177,4494,28
1981,Missouri,MO,4932064,131.57,6489,29
1981,Montana,MT,795328,104.11,828,30
1981,Nebraska,NE,1578515,93.57,1477,31
1981,Nevada,NV,847655,249.63,2116,32
1981,New Hampshire,NH,936621,42.49,398,33
1981,New Jersey,NJ,7407472,92.62,6861,34
1981,New Mexico,NM,1332748,100.92,1345,35
1981,New York,NY,17567734,145.12,25494,36
1981,North Carolina,NC,5956653,249.02,14833,37
1981,North Dakota,ND,659505,33.05,218,38
1981,Ohio,OH,10788330,138.74,14968,39
1981,Oklahoma,OK,3096164,170.57,5281,40
1981,Oregon,OR,2667982,123.39,3292,41
1981,Pennsylvania,PA,11858567,78.35,9291,42
1981,Rhode Island,RI,953013,72.3,689,44
1981,South Carolina,SC,3179255,251.95,8010,45
1981,South Dakota,SD,689584,96,662,46
1981,Tennessee,TN,4627658,170.65,7897,47
1981,Texas,TX,14746318,213.63,31503,48
1981,United States,US,229465714,153.34,351863,0
1981,Utah,UT,1515471,74.3,1126,49
1981,Vermont,VT,515594,76.61,395,50
1981,Virginia,VA,5444097,165.56,9013,51
1981,Washington,WA,4235731,125.98,5336,53
1981,West Virginia,WV,1954124,80.09,1565,54
1981,Wisconsin,WI,4726343,92.78,4385,55
1981,Wyoming,WY,491712,113.07,556,56
1982,Alabama,AL,3925266,218.61,8581,1
1982,Alaska,AK,449606,193.95,872,2
1982,Arizona,AZ,2889861,209.28,6048,4
1982,Arkansas,AR,2294257,170.95,3922,5
1982,California,CA,24820009,135.31,33584,6
1982,Colorado,CO,3061564,99.36,3042,8
1982,Connecticut,CT,3139013,99.68,3129,9
1982,Delaware,DE,599148,252.53,1513,10
1982,Federal,FD,231664458,10.16,23537,57
1982,Florida,FL,10471407,259.17,27139,12
1982,Georgia,GA,5649792,248.47,14038,13
1982,Hawaii,HI,993780,90.86,903,15
1982,Idaho,ID,973721,107.22,1044,16
1982,Illinois,IL,11423412,122.11,13949,17
1982,Indiana,IN,5467922,151.7,8295,18
1982,Iowa,IA,2888189,97.95,2829,19
1982,Kansas,KS,2401202,128.19,3078,20
1982,Kentucky,KY,3683445,109.44,4031,21
1982,Louisiana,LA,4352608,251.11,10930,22
1982,Maine,ME,1136684,78.47,892,23
1982,Maryland,MD,4282923,257.58,11032,24
1982,Massachusetts,MA,5771222,73.43,4238,25
1982,Michigan,MI,9115198,163.61,14913,26
1982,Minnesota,MN,4131450,50.37,2081,27
1982,Mississippi,MS,2556777,209.6,5359,28
1982,Missouri,MO,4929451,151.03,7445,29
1982,Montana,MT,803986,113.68,914,30
1982,Nebraska,NE,1581780,100.14,1584,31
1982,Nevada,NV,881537,312.29,2753,32
1982,New Hampshire,NH,947719,46.95,445,33
1982,New Jersey,NJ,7430968,107.52,7990,34
1982,New Mexico,NM,1363823,106.1,1447,35
1982,New York,NY,17589738,158.87,27945,36
1982,North Carolina,NC,6019101,255,15349,37
1982,North Dakota,ND,668972,41.26,276,38
1982,Ohio,OH,10757087,160.98,17317,39
1982,Oklahoma,OK,3206123,202.74,6500,40
1982,Oregon,OR,2664922,146.35,3900,41
1982,Pennsylvania,PA,11845146,88.21,10449,42
1982,Rhode Island,RI,954170,81.85,781,44
1982,South Carolina,SC,3207614,269.02,8629,45
1982,South Dakota,SD,690597,109.32,755,46
1982,Tennessee,TN,4646041,169.37,7869,47
1982,Texas,TX,15331415,235.78,36148,48
1982,United States,US,231664458,169.89,393575,0
1982,Utah,UT,1558314,76.94,1199,49
1982,Vermont,VT,519109,83.8,435,50
1982,Virginia,VA,5492783,176.87,9715,51
1982,Washington,WA,4276552,146.47,6264,53
1982,West Virginia,WV,1949604,79.35,1547,54
1982,Wisconsin,WI,4728870,99.69,4714,55
1982,Wyoming,WY,506400,138.62,702,56
1983,Alabama,AL,3934102,245.06,9641,1
1983,Alaska,AK,488417,219.49,1072,2
1983,Arizona,AZ,2968925,227.12,6743,4
1983,Arkansas,AR,2305761,184.15,4246,5
1983,California,CA,25360026,149.94,38025,6
1983,Colorado,CO,3133630,103.52,3244,8
1983,Connecticut,CT,3162354,113.11,3577,9
1983,Delaware,DE,605458,260.81,1579,10
1983,Federal,FD,233791994,11.21,26208,57
1983,Florida,FL,10749851,236.22,25393,12
1983,Georgia,GA,5728250,260.72,14935,13
1983,Hawaii,HI,1012717,105.16,1065,15
1983,Idaho,ID,981869,120.89,1187,16
1983,Illinois,IL,11408818,136.05,15522,17
1983,Indiana,IN,5450395,164.63,8973,18
1983,Iowa,IA,2870543,98.03,2814,19
1983,Kansas,KS,2415531,153.38,3705,20
1983,Kentucky,KY,3694484,129.19,4773,21
1983,Louisiana,LA,4395316,291.49,12812,22
1983,Maine,ME,1144772,75.21,861,23
1983,Maryland,MD,4313327,277.72,11979,24
1983,Massachusetts,MA,5799407,75.39,4372,25
1983,Michigan,MI,9047754,160.37,14510,26
1983,Minnesota,MN,4141456,51.02,2113,27
1983,Mississippi,MS,2567717,213.46,5481,28
1983,Missouri,MO,4943733,163.9,8103,29
1983,Montana,MT,814031,110.68,901,30
1983,Nebraska,NE,1584293,97.9,1551,31
1983,Nevada,NV,901977,353.45,3188,32
1983,New Hampshire,NH,958134,49.99,479,33
1983,New Jersey,NJ,7467785,123.09,9192,34
1983,New Mexico,NM,1394361,122.49,1708,35
1983,New York,NY,17686905,172.5,30510,36
1983,North Carolina,NC,6077056,234.6,14257,37
1983,North Dakota,ND,676688,51.72,350,38
1983,Ohio,OH,10737632,167.7,18007,39
1983,Oklahoma,OK,3290402,227.33,7480,40
1983,Oregon,OR,2653066,148.96,3952,41
1983,Pennsylvania,PA,11837723,98.83,11699,42
1983,Rhode Island,RI,956382,91.81,878,44
1983,South Carolina,SC,3234066,280.64,9076,45
1983,South Dakota,SD,693008,116.6,808,46
1983,Tennessee,TN,4659749,176,8201,47
1983,Texas,TX,15751676,223.84,35259,48
1983,United States,US,233791994,178.55,417436,0
1983,Utah,UT,1594943,79.06,1261,49
1983,Vermont,VT,523302,72.23,378,50
1983,Virginia,VA,5564657,177.1,9855,51
1983,Washington,WA,4300266,154.83,6658,53
1983,West Virginia,WV,1945061,82.83,1611,54
1983,Wisconsin,WI,4721438,102.62,4845,55
1983,Wyoming,WY,510345,141.28,721,56
1984,Alabama,AL,3951820,259.27,10246,1
1984,Alaska,AK,513702,251.7,1293,2
1984,Arizona,AZ,3067135,249.29,7646,4
1984,Arkansas,AR,2319768,193.21,4482,5
1984,California,CA,25844393,161.16,41651,6
1984,Colorado,CO,3169992,101.92,3231,8
1984,Connecticut,CT,3180014,117.86,3748,9
1984,Delaware,DE,611565,252.81,1546,10
